Title,Series,Universal Link,Amazon Link,ASIN,Bookfunnel Link,Bookbub Link,Goodreads Link,Booksprout Link
FIRST MATCH,Arizona Rattlesnakes Novel,https://books2read.com/u/menwxg,https://www.amazon.com/dp/B09WML5KZF,B09WML5KZF,https://BookHip.com/JZGRAFK,https://www.bookbub.com/books/first-match-a-single-dad-accidental-pregnancy-sports-romance-an-arizona-rattlesnakes-novel-by-pippa-green,https://www.goodreads.com/book/show/60727860-first-match,
BAD MATCH,Arizona Rattlesnakes Novel,getbook.at/BadMatch,https://www.amazon.com/dp/B0B1L2BKN9,B0B1L2BKN9,https://BookHip.com/SNXXTJP,https://www.bookbub.com/books/bad-match-an-opposites-attract-forbidden-sports-romance-arizona-rattlesnakes-book-2-by-pippa-green,https://www.goodreads.com/book/show/61329981-bad-match,https://booksprout.co/reviewer/review-copy/view/86114/bad-match-an-opposites-attract-forbidden-sports-romance
BEST MATCH,Arizona Rattlesnakes Novel,getbook.at/BestMatch,https://www.amazon.com/gp/product/B0B496844C,B0B496844C,,https://www.bookbub.com/books/best-match-a-grumpy-sunshine-sports-romance-arizona-rattlesnakes-book-3-by-pippa-green,https://www.goodreads.com/book/show/61345144-best-match,
HIS MATCH,Arizona Rattlesnakes Novel,,,,,,,
HER MATCH,Arizona Rattlesnakes Novel,,,,,,,
RE MATCH,Arizona Rattlesnakes Novel,,,,,,,
UN MATCH,Arizona Rattlesnakes Novel,,,,,,,
FINAL MATCH,Arizona Rattlesnakes Novel,,,,,,,
BORN OF CHAOS,Eternal Chaos Trilogy Book 1,https://books2read.com/BornofChaos,https://www.amazon.com/Born-Chaos-Eternal-Trilogy-Book-ebook/dp/B09294VDQM/,B09294VDQM,,https://www.bookbub.com/books/born-of-chaos-eternal-chaos-trilogy-book-1-by-brea-viragh-and-rebecca-hamilton,https://www.goodreads.com/book/show/58829108-born-of-chaos,
MARK OF DEMONS,Eternal Chaos Trilogy Book 2,,,,,,,
REIGN OF SHADOWS,Eternal Chaos Trilogy Book 3,,,,,,,
SHADOW WITCH,Voodoo Academy Book 1,,https://www.amazon.com/dp/B09Q1TD9V5,B09Q1TD9V5,,,,
SHADOW TEMPTED,Voodoo Academy Book 2,,,,,,,
SHADOW GAMES,Voodoo Academy Book 3,,,,,,,
SHADOW PAWN,Voodoo Academy Book 4,,,,,,,
SHADOW MATED,Voodoo Academy Book 5,,,,,,,
SHADOW KEEPER,Voodoo Academy Book 6,,,,,,,
DEMON BLOOD,Bloodstone Academy Book 1,,,,,,,
DEMON FURY,Bloodstone Academy Book 2,,,,,,,
DEMON CURSE,Bloodstone Academy Book 3,,,,,,,
DEMON SECRET,Bloodstone Academy Book 4,,,,,,,
DEMON THIEF,Bloodstone Academy Book 5,,,,,,,
DEMON PRISON,Bloodstone Academy Book 6,,,,,,,
DEMON GATE,Bloodstone Academy Book 7,,,,,,,
DEMON SOUL,Bloodstone Academy Book 8,,,,,,,
WOLF TOTEM,Rogue Shifter Saga Book 1,,,,,,,
BLOOD CHOSEN,Rogue Shifter Saga Book 2,,,,,,,
LEGACY MARKED,Rogue Shifter Saga Book 3,,,,,,,
WITCHED UPON A STAR,Gateway Trilogy 1,,,,,,,
IF THE BROOM FITS,Gateway Trilogy 2,,,,,,,
JUST BREW IT,Gateway Trilogy 3,,,,,,,
